"homeownership","income","percentage"
"owner","$100000 to $119999","0.26554964493442636994"
"owner","$100000 to $119999","0.63731914784262328785"
"owner","$100000 to $119999","1.3457370715870446"
"owner","$100000 to $119999","1.3714354243226343"
"owner","$100000 to $119999","1.4716589999914339"
"owner","$100000 to $119999","0.89344606344066678659"
"owner","$100000 to $119999","0.42744926716864115677"
"owner","$120000 to $139999","0.15932978696065582196"
"owner","$120000 to $139999","0.44286827880999494599"
"owner","$120000 to $139999","1.02622088590787997156"
"owner","$120000 to $139999","1.1392936379444744"
"owner","$120000 to $139999","1.1761279435321529"
"owner","$120000 to $139999","0.60305467752850375624"
"owner","$120000 to $139999","0.25955336262945545191"
"owner","$120000 to $139999",NULL
"owner","$140000 to $159999","0.000000000000000000000000"
"owner","$140000 to $159999","0.15761656344494984538"
"owner","$140000 to $159999","0.36919966763463795304"
"owner","$140000 to $159999","0.96283161582675883809"
"owner","$140000 to $159999","0.92685392199693332991"
"owner","$140000 to $159999","0.93713326309116918939"
"owner","$140000 to $159999","0.46856663154558459469"
"owner","$140000 to $159999","0.15247689289783191564"
"owner","$160000 to $179999","0.000000000000000000000000"
"owner","$160000 to $179999","0.08908762281671078217"
"owner","$160000 to $179999","0.19873392782189328331"
"owner","$160000 to $179999","0.62875303026409340495"
"owner","$160000 to $179999","0.24156451571454269781"
"renter","Less than $10000","0.50111787834399814972"
"renter","Less than $10000","0.42744926716864115677"
"renter","Less than $10000","0.38975834982310967200"
"renter","Less than $10000","0.65016832421041811220"
"renter","Less than $10000","0.67757990046171373748"
"renter","Less than $10000","1.0630551914955585"
"renter","Less than $10000","0.70927453550227430422"
"renter","Less than $10000","0.62532658323268145179"
"renter","$10000 to $19999","0.28953477415431004206"
"renter","$10000 to $19999","0.33836164435193037460"
"renter","$10000 to $19999","0.36577322060322599988"
"renter","$10000 to $19999","0.66987039464103684287"
"renter","$10000 to $19999","0.57392987776150215438"
"renter","$10000 to $19999","0.89944234574563770462"
"renter","$10000 to $19999","0.93627665133331620110"
"renter","$10000 to $19999","0.77866008788836635572"
"renter","$20000 to $29999","0.48141580791337941905"
"renter","$20000 to $29999","0.41631331431655230900"
"renter","$20000 to $29999","0.48912531373405631366"
"renter","$20000 to $29999","0.81035472292892692245"
"renter","$20000 to $29999","0.63731914784262328785"
"renter","$20000 to $29999","0.69813858265018545645"
"renter","$20000 to $29999","0.50968399592252803262"
"renter","$20000 to $29999","0.50625754889111607946"
"renter","$30000 to $39999","0.34178809138334232776"
"renter","$30000 to $39999","0.56707698369867824806"
"renter","$30000 to $39999","0.55080136029947147055"
"renter","$30000 to $39999","0.87203076949434207934"
"renter","$30000 to $39999","0.71098775901798028080"
"renter","$30000 to $39999","0.48227241967123240734"
"renter","$30000 to $39999","0.46085712572490770008"
"renter","$30000 to $39999","0.28353849184933912403"
"renter","$40000 to $49999","0.34607115017260726921"
