homeownership,income,age,total,year
renter,$40000 to $49999,45 to 54 years old,684,2015
renter,$40000 to $49999,55 to 64 years old,476,2015
renter,$40000 to $49999,65 to 74 years old,202,2015
renter,$40000 to $49999,75 years old and over,155,2015
renter,$50000 to $59999,Under 25 years old,239,2015
renter,$50000 to $59999,25 to 29 years old,516,2015
renter,$50000 to $59999,30 to 34 years old,456,2015
renter,$50000 to $59999,35 to 44 years old,741,2015
renter,$50000 to $59999,45 to 54 years old,589,2015
renter,$50000 to $59999,55 to 64 years old,392,2015
renter,$50000 to $59999,65 to 74 years old,187,2015
renter,$50000 to $59999,75 years old and over,105,2015
renter,$60000 to $79999,Under 25 years old,246,2015
renter,$60000 to $79999,25 to 29 years old,787,2015
renter,$60000 to $79999,30 to 34 years old,742,2015
renter,$60000 to $79999,35 to 44 years old,1050,2015
renter,$60000 to $79999,45 to 54 years old,879,2015
renter,$60000 to $79999,55 to 64 years old,559,2015
renter,$60000 to $79999,65 to 74 years old,201,2015
renter,$60000 to $79999,75 years old and over,93,2015
renter,$80000 to $99999,Under 25 years old,121,2015
renter,$80000 to $99999,25 to 29 years old,331,2015
renter,$80000 to $99999,30 to 34 years old,492,2015
renter,$80000 to $99999,35 to 44 years old,649,2015
renter,$80000 to $99999,45 to 54 years old,496,2015
renter,$80000 to $99999,55 to 64 years old,325,2015
renter,$80000 to $99999,65 to 74 years old,124,2015
renter,$80000 to $99999,75 years old and over,49,2015
renter,$100000 to $119999,Under 25 years old,93,2015
renter,$100000 to $119999,25 to 29 years old,221,2015
renter,$100000 to $119999,30 to 34 years old,285,2015
renter,$100000 to $119999,35 to 44 years old,414,2015
renter,$100000 to $119999,45 to 54 years old,340,2015
renter,$100000 to $119999,55 to 64 years old,175,2015
renter,$100000 to $119999,65 to 74 years old,57,2015
renter,$100000 to $119999,75 years old and over,42,2015
renter,$120000 or more,Under 25 years old,70,2015
renter,$120000 or more,25 to 29 years old,424,2015
renter,$120000 or more,30 to 34 years old,461,2015
renter,$120000 or more,35 to 44 years old,647,2015
renter,$120000 or more,45 to 54 years old,622,2015
renter,$120000 or more,55 to 64 years old,301,2015
renter,$120000 or more,65 to 74 years old,89,2015
renter,$120000 or more,75 years old and over,33,2015
renter,Less than $10000,Under 25 years old,707,2017
renter,Less than $10000,25 to 29 years old,559,2017
renter,Less than $10000,30 to 34 years old,508,2017
renter,Less than $10000,35 to 44 years old,865,2017
renter,Less than $10000,45 to 54 years old,868,2017
renter,Less than $10000,55 to 64 years old,1169,2017
renter,Less than $10000,65 to 74 years old,800,2017
renter,Less than $10000,75 years old and over,715,2017
renter,$10000 to $19999,Under 25 years old,490,2017
renter,$10000 to $19999,25 to 29 years old,499,2017
renter,$10000 to $19999,30 to 34 years old,451,2017
renter,$10000 to $19999,35 to 44 years old,901,2017
renter,$10000 to $19999,45 to 54 years old,910,2017
renter,$10000 to $19999,55 to 64 years old,1094,2017
renter,$10000 to $19999,65 to 74 years old,839,2017
renter,$10000 to $19999,75 years old and over,1010,2017
renter,$20000 to $29999,Under 25 years old,717,2017
renter,$20000 to $29999,25 to 29 years old,642,2017
renter,$20000 to $29999,30 to 34 years old,1051,2017
renter,$20000 to $29999,35 to 44 years old,875,2017
renter,$20000 to $29999,45 to 54 years old,893,2017
renter,$20000 to $29999,55 to 64 years old,583,2017
renter,$20000 to $29999,65 to 74 years old,494,2017
renter,$20000 to $29999,75 years old and over,,2017
renter,$30000 to $39999,Under 25 years old,498,2017
renter,$30000 to $39999,25 to 29 years old,667,2017
renter,$30000 to $39999,30 to 34 years old,506,2017
renter,$30000 to $39999,35 to 44 years old,1147,2017
renter,$30000 to $39999,45 to 54 years old,772,2017
renter,$30000 to $39999,55 to 64 years old,703,2017
renter,$30000 to $39999,65 to 74 years old,370,2017
renter,$30000 to $39999,75 years old and over,308,2017
renter,$40000 to $49999,Under 25 years old,426,2017
renter,$40000 to $49999,25 to 29 years old,581,2017
renter,$40000 to $49999,30 to 34 years old,557,2017
renter,$40000 to $49999,35 to 44 years old,893,2017
renter,$40000 to $49999,45 to 54 years old,774,2017
renter,$40000 to $49999,55 to 64 years old,570,2017
renter,$40000 to $49999,65 to 74 years old,326,2017
renter,$40000 to $49999,75 years old and over,158,2017
renter,$50000 to $59999,Under 25 years old,264,2017
renter,$50000 to $59999,25 to 29 years old,559,2017
renter,$50000 to $59999,30 to 34 years old,514,2017
renter,$50000 to $59999,35 to 44 years old,783,2017
renter,$50000 to $59999,45 to 54 years old,629,2017
renter,$50000 to $59999,55 to 64 years old,356,2017
renter,$50000 to $59999,65 to 74 years old,203,2017
renter,$50000 to $59999,75 years old and over,110,2017
renter,$60000 to $79999,Under 25 years old,375,2017
renter,$60000 to $79999,25 to 29 years old,738,2017
renter,$60000 to $79999,30 to 34 years old,764,2017
renter,$60000 to $79999,35 to 44 years old,1119,2017
renter,$60000 to $79999,45 to 54 years old,954,2017
renter,$60000 to $79999,55 to 64 years old,595,2017
renter,$60000 to $79999,65 to 74 years old,206,2017
renter,$60000 to $79999,75 years old and over,104,2017
renter,$80000 to $99999,Under 25 years old,147,2017
renter,$80000 to $99999,25 to 29 years old,478,2017
renter,$80000 to $99999,30 to 34 years old,522,2017
renter,$80000 to $99999,35 to 44 years old,691,2017
renter,$80000 to $99999,45 to 54 years old,596,2017
renter,$80000 to $99999,55 to 64 years old,359,2017
renter,$80000 to $99999,65 to 74 years old,120,2017
renter,$80000 to $99999,75 years old and over,48,2017
renter,$100000 to $119999,Under 25 years old,100,2017
renter,$100000 to $119999,25 to 29 years old,314,2017
renter,$100000 to $119999,30 to 34 years old,281,2017
renter,$100000 to $119999,35 to 44 years old,460,2017
renter,$100000 to $119999,45 to 54 years old,370,2017
renter,$100000 to $119999,55 to 64 years old,206,2017
renter,$100000 to $119999,65 to 74 years old,76,2017
renter,$100000 to $119999,75 years old and over,36,2017
renter,$120000 or more,Under 25 years old,161,2017
renter,$120000 or more,25 to 29 years old,564,2017
renter,$120000 or more,30 to 34 years old,585,2017
renter,$120000 or more,35 to 44 years old,859,2017
renter,$120000 or more,45 to 54 years old,749,2017
renter,$120000 or more,55 to 64 years old,393,2017
renter,$120000 or more,65 to 74 years old,137,2017
renter,$120000 or more,75 years old and over,41,2017
renter,Less than $10000,Under 25 years old,599,2019
renter,Less than $10000,25 to 29 years old,495,2019
renter,Less than $10000,30 to 34 years old,460,2019
renter,Less than $10000,35 to 44 years old,831,2019
renter,Less than $10000,45 to 54 years old,887,2019
renter,Less than $10000,55 to 64 years old,1154,2019
renter,Less than $10000,65 to 74 years old,903,2019
renter,Less than $10000,75 years old and over,769,2019
renter,$10000 to $19999,Under 25 years old,471,2019
renter,$10000 to $19999,25 to 29 years old,360,2019
renter,$10000 to $19999,30 to 34 years old,407,2019
renter,$10000 to $19999,35 to 44 years old,692,2019
renter,$10000 to $19999,45 to 54 years old,692,2019
renter,$10000 to $19999,55 to 64 years old,1095,2019
renter,$10000 to $19999,65 to 74 years old,875,2019
renter,$10000 to $19999,75 years old and over,1018,2019
renter,$20000 to $29999,Under 25 years old,532,2019
renter,$20000 to $29999,25 to 29 years old,589,2019
renter,$20000 to $29999,30 to 34 years old,518,2019
renter,$20000 to $29999,35 to 44 years old,968,2019
renter,$20000 to $29999,45 to 54 years old,705,2019
renter,$20000 to $29999,55 to 64 years old,748,2019
renter,$20000 to $29999,65 to 74 years old,604,2019
renter,$20000 to $29999,75 years old and over,550,2019
renter,$30000 to $39999,Under 25 years old,468,2019
renter,$30000 to $39999,25 to 29 years old,599,2019
renter,$30000 to $39999,30 to 34 years old,609,2019
renter,$30000 to $39999,35 to 44 years old,1028,2019
renter,$30000 to $39999,45 to 54 years old,830,2019
renter,$30000 to $39999,55 to 64 years old,729,2019
renter,$30000 to $39999,65 to 74 years old,388,2019
renter,$30000 to $39999,75 years old and over,283,2019
renter,$40000 to $49999,Under 25 years old,375,2019
renter,$40000 to $49999,25 to 29 years old,534,2019
renter,$40000 to $49999,30 to 34 years old,551,2019
renter,$40000 to $49999,35 to 44 years old,868,2019
renter,$40000 to $49999,45 to 54 years old,736,2019
renter,$40000 to $49999,55 to 64 years old,555,2019
renter,$40000 to $49999,65 to 74 years old,291,2019
renter,$40000 to $49999,75 years old and over,206,2019
renter,$50000 to $59999,Under 25 years old,350,2019
renter,$50000 to $59999,25 to 29 years old,552,2019
renter,$50000 to $59999,30 to 34 years old,508,2019
renter,$50000 to $59999,35 to 44 years old,761,2019
renter,$50000 to $59999,45 to 54 years old,607,2019
renter,$50000 to $59999,55 to 64 years old,454,2019
renter,$50000 to $59999,65 to 74 years old,225,2019
renter,$50000 to $59999,75 years old and over,104,2019
renter,$60000 to $79999,Under 25 years old,473,2019
renter,$60000 to $79999,25 to 29 years old,920,2019
renter,$60000 to $79999,30 to 34 years old,765,2019
renter,$60000 to $79999,35 to 44 years old,1220,2019
renter,$60000 to $79999,45 to 54 years old,955,2019
renter,$60000 to $79999,55 to 64 years old,645,2019
renter,$60000 to $79999,65 to 74 years old,236,2019
renter,$60000 to $79999,75 years old and over,163,2019
renter,$80000 to $99999,Under 25 years old,227,2019
renter,$80000 to $99999,25 to 29 years old,526,2019
renter,$80000 to $99999,30 to 34 years old,507,2019
renter,$80000 to $99999,35 to 44 years old,706,2019
renter,$80000 to $99999,45 to 54 years old,612,2019
renter,$80000 to $99999,55 to 64 years old,406,2019
renter,$80000 to $99999,65 to 74 years old,171,2019
renter,$80000 to $99999,75 years old and over,92,2019
renter,$100000 to $119999,Under 25 years old,128,2019
renter,$100000 to $119999,25 to 29 years old,326,2019
renter,$100000 to $119999,30 to 34 years old,336,2019
renter,$100000 to $119999,35 to 44 years old,559,2019
